recId,searchText
0,"Абакан, ул. Кирова, 101"
1,"Абинск, ул. Советов, 62"
2,"Адлер, ул. Кирова, 23"
3,"Адлер, ул. Московская, Дом 3, Корпус 4"
4,"Аксай, ул. Мира, 1А"
5,"Александров, ул. Первомайская, 46"
6,"Альметьевск, ул. Ленина, 94"
7,"Анапа, ул. Краснодарская, 2В"
8,"Ангарск, мкрн. 18, 19"
9,"Апрелевка, ул. Октябрьская, 14"
10,"Арзамас, пр-т Ленина, 121А"
11,"Армавир, ул. Ленина, 101А"
12,"Архангельск, ул. Гайдара, 52"
13,"Архангельск, пр-т Троицкий, 21"
14,"Астрахань, ул. 3-я Зеленгинская, 56"
15,"Астрахань, ул. Магистральная, 29"
16,"Астрахань, ул. Эспланадная, 12"
17,"Астрахань, ул. Набережная Приволжского Затона, 14"
18,"Ачинск, мкрн. 1-й микрорайон, 39а"
19,"Балаково, ул. Трнавская, 3/3"
20,"Балашиха, пр-т Ленина, 23/5"
21,"Балашиха, ул. Свердлова, 16/5"
22,"Балашиха, ул. Некрасова, мкрн Железнодорожный, 2а"
23,"Балтийск, пр-т Ленина, 22"
24,"Барабинск, квартал 11-й, 12А"
25,"Барнаул (Алтайский край), пр-т Красноармейский, 75"
26,"Батайск, ул. Кирова, 30/15"
27,"Белгород, ул. Щорса, 37а"
28,"Белгород, пр-т Гражданский, 18"
29,"Белгород, ул. Есенина, 9"
30,"Белогорск, ул. Ленина, 63"
31,"Бердск, ул. Ленина, 90"
32,"Березники, ул. Юбилейная, 127"
33,"Благовещенск, ул. Октябрьская, 197"
34,"Благовещенск, ул. Зейская, 175/179"
35,"Братск, ул. Крупской, 32а"
36,"Брянск, ул. Ульянова, 123А"
37,"Брянск, ул. Крахмалева, 49"
38,"Брянск, ул. Дзержинского, 5"
39,"Бугульма, ул. Ленина, 90г"
40,"Бузулук, ул. Максима Горького, 60"
41,"Великий Новгород, ул. Чудинцева, 11/62"
42,"Великий Новгород, ул. Державина, 7 корп.1"
43,"Вельск, ул.  Советская, 91/11 корп 2"
44,"Видное, ул. ул. Харьковская, 2"
45,"Видное, пр-т Ленинского Комсомола, 46А/1"
46,"Видное, ул. Джанкойская, 1с4"
47,"Владивосток, ул. Некрасовская, 61А"
48,"Владикавказ, ул. Генерала Плиева, 25"
49,"Владимир, пр-т Ленина, 32а"
50,"Волгоград, ул. Кирова, 149 В"
51,"Волгоград, ул. Аллея Героев, 5"
52,"Волгоград, пр-т имени В.И. Ленина, 111г"
53,"Волжский (Волгоградская обл.), ул. Мира, 54В"
54,"Вологда, ул. Ленинградская, 134"
55,"Воронеж, ул. Кольцовская, 31"
56,"Воронеж, пр-т Ленинский, 177"
57,"Воронеж, пр-т Московский, 85"
58,"Воскресенск, ул. Кагана, 19"
59,"Воткинск, ул. 1 Мая, 4 Б"
60,"Всеволожск, ш. Колтушское, 44/1"
61,"Выборг, ш. Ленинградское, 38"
62,"Вязьма, пл. Советская, 2"
63,"Гатчина, ул. Соборная , 20А"
64,"Геленджик, ул. Революционная, 6"
65,"Георгиевск, ул. Калинина, 127"
66,"Горно-Алтайск, ул. Григория Чорос-Гуркина, 28"
67,"Губкин, ул. Мира, 20"
68,"Дедовск, ул. Космонавта Комарова, 4а"
69,"Дедовск, ул. Красноармейская, 68"
70,"Дзержинск, ул. Гайдара, 59"
71,"Димитровград, пр-т Ленина, 35А"
72,"Дмитров, ул. Московская, 23А"
73,"Долгопрудный, ул. Дубнинская, 50"
74,"Долгопрудный, ул. Дирижабельная, 26"
75,"Домодедово, ул. Курыжова, 7"
76,"Домодедово, ул. Лунная (МКРН ЗАПАДНЫЙ), 9/2"
77,"Дрезна, ул. Ленина, 4/1"
78,"Дубна, пр-т Боголюбова, 44А"
79,"Егорьевск, пр-т Ленина, 3А"
80,"Ейск, ул. Коммунистическая, 47/2"
81,"Екатеринбург, пр-т Ленина, 72"
82,"Екатеринбург, пр-т Космонавтов, 31а"
83,"Екатеринбург, ул. Юлиуса Фучика, 3"
84,"Екатеринбург, ул. Малышева, 31"
85,"Екатеринбург, ул. Вильгельма де Геннина, 42"
86,"Екатеринбург, ул. 8 Марта, 43а"
87,"Екатеринбург, ул. Шаумяна, микрорайон Юго-Западный, 87"
88,"Елабуга, пр-т Мира, 25 A"
89,"Ессентуки, ул. Октябрьская, 439"
90,"Железногорск (Красноярский край), пр-т Ленинградский, 1Б"
91,"Железногорск (Курская обл.), ул. Ленина, 63"
