recId;SeqNumber;seqLength;displayLatitude;displayLongitude;locationLabel;houseNumber;street;district;city;postalCode;county;state;country
0;1;1;53.72643;91.43522;улица Кирова 101, Абакан, Россия, 655017;101;улица Кирова;Абакан;Абакан;655017;Республика Хакасия;Сибирский федеральный округ;RUS
1;1;1;44.86212;38.16926;улица Советов 62, Абинский район, Россия, 353320;62;улица Советов;Абинск;Абинский район;353320;Краснодарский край;Южный федеральный округ;RUS
2;1;1;43.42305;39.92121;улица Кирова 23, Сочи, Россия, 354000;23;улица Кирова;Адлер;Сочи;354000;Краснодарский край;Южный федеральный округ;RUS
3;1;1;44.54395;40.15305;улица Московская 21, Майкопский район, Россия, 385773;21;улица Московская;Совхозный;Майкопский район;385773;Республика Адыгея;Южный федеральный округ;RUS
4;1;1;47.26904;39.85902;улица Мира 1А, Аксайский район, Россия, 346720;1А;улица Мира;Аксай;Аксайский район;346720;Ростовская область;Южный федеральный округ;RUS
5;1;1;56.39889;38.72002;Первомайская улица 46, Александровский район, Россия, 601650;46;Первомайская улица;Александров;Александровский район;601650;Владимирская область;Центральный федеральный округ;RUS
6;1;1;54.90001;52.28112;улица Ленина 94, Альметьевский район, Россия, 423461;94;улица Ленина;Альметьевск;Альметьевский район;423461;Республика Татарстан;Приволжский федеральный округ;RUS
7;1;1;44.89592;37.31647;Краснодарская улица 2В, Анапа, Россия;2В;Краснодарская улица;Анапа;Анапа;;Краснодарский край;Южный федеральный округ;RUS
8;1;1;52.50223;103.8451;18-й микрорайон 19, Ангарск, Россия, 665841;19;18-й микрорайон;Ангарск;Ангарск;665841;Иркутская область;Сибирский федеральный округ;RUS
9;1;1;55.5483;37.07156;Октябрьская улица 14, Наро-Фоминский район, Россия, 143360;14;Октябрьская улица;Апрелевка;Наро-Фоминский район;143360;Московская область;Центральный федеральный округ;RUS
10;1;1;55.39965;43.8319;проспект Ленина 121А, Арзамас, Россия, 607220;121А;проспект Ленина;Арзамас;Арзамас;607220;Нижегородская область;Приволжский федеральный округ;RUS
11;1;1;44.99968;41.12697;улица Ленина 101, Армавир, Россия, 352900;101;улица Ленина;Армавир;Армавир;352900;Краснодарский край;Южный федеральный округ;RUS
12;1;1;64.54965;40.55001;улица Гайдара 52, Архангельск, Россия, 163071;52;улица Гайдара;Архангельск;Архангельск;163071;Архангельская область;Северо-Западный федеральный округ;RUS
13;1;1;64.53306;40.52678;Троицкий проспект 21, Архангельск, Россия, 163000;21;Троицкий проспект;Архангельск;Архангельск;163000;Архангельская область;Северо-Западный федеральный округ;RUS
14;1;1;46.35193;48.07861;3-я Зеленгинская улица 56, Астрахань, Россия, 414000;56;3-я Зеленгинская улица;Кировский район;Астрахань;414000;Астраханская область;Южный федеральный округ;RUS
15;1;1;46.41298;47.98499;Магистральная улица 29, Астрахань, Россия, 414026;29;Магистральная улица;Трусовский район;Астрахань;414026;Астраханская область;Южный федеральный округ;RUS
16;1;1;46.35195;48.03702;Эспланадная улица 10, Астрахань, Россия, 414000;10;Эспланадная улица;Кировский район;Астрахань;414000;Астраханская область;Южный федеральный округ;RUS
17;1;1;46.34331;48.0181;улица набережная Приволжского Затона 14, Астрахань, Россия, 414000;14;улица набережная Приволжского Затона;Кировский район;Астрахань;414000;Астраханская область;Южный федеральный округ;RUS
18;1;1;56.26229;90.49203;1-й микрорайон 39А, Ачинск, Россия, 662150;39А;1-й микрорайон;Ачинск;Ачинск;662150;Красноярский край;Сибирский федеральный округ;RUS
19;1;1;52.01953;47.81972;Трнавская улица 3/3, Балаково, Россия, 413860;3/3;Трнавская улица;Балаково;Балаково;413860;Саратовская область;Приволжский федеральный округ;RUS
20;1;1;55.79743;37.9372;проспект Ленина 23/5, Балашиха, Россия, 143900;23/5;проспект Ленина;Балашиха;Балашиха;143900;Московская область;Центральный федеральный округ;RUS
21;1;1;55.82188;37.96965;улица Свердлова 16/5, Балашиха, Россия, 143900;16/5;улица Свердлова;Балашиха;Балашиха;143900;Московская область;Центральный федеральный округ;RUS
22;1;1;55.74862;37.9994;улица Некрасова, Балашиха, Россия, 143989;;улица Некрасова;Железнодорожный;Балашиха;143989;Московская область;Центральный федеральный округ;RUS
23;1;1;54.64767;19.90172;проспект Ленина 22, Балтийск, Россия;22;проспект Ленина;Балтийск;Балтийск;;Калининградская область;Северо-Западный федеральный округ;RUS
24;0;0;;;;;;;;;;;
