recId,searchText
0,"Санкт-Петербург, Лиговский пр., 30а"
1,"Санкт-Петербург, пр. Стачек, 99"
2,"Санкт-Петербург, Гражданский пр., 41"
3,"Санкт-Петербург, наб. Обводного канала, 118а"
4,"Санкт-Петербург, ул. Савушкина, 141"
5,"Санкт-Петербург, Бухарестская ул., 30/32"
6,"Санкт-Петербург, Невский пр., 48"
7,"Санкт-Петербург, пр. Просвещения, 84/1 "
8,"Санкт-Петербург, Владимирский пр., 19"
9,"Санкт-Петербург, пр. Большевиков, 18/2"
10,"Санкт-Петербург, ул. Ленсовета, 97а"
11,"Санкт-Петербург, Комендантская пл., 1а"
12,"Санкт-Петербург, Балканская пл., 5"
13,"Санкт-Петербург, Балканская пл., 5"
14,"Санкт-Петербург, Заневский пр., 67"
15,"Санкт-Петербург, Ленинский пр., 128 "
16,"Санкт-Петербург, Полюстровский пр., 80 – 84а"
17,"Санкт-Петербург, ул. Белы Куна, 3"
18,"Санкт-Петербург, Пулковское шоссе, 25/1"
19,"Санкт-Петербург, Московский пр., 207"
20,"Санкт-Петербург, ул. Якорная, 5а "
21,"Санкт-Петербург, Лиговский пр., 153"
22,"Санкт-Петербург, Большой пр. П.С., 55/6"
23,"Санкт-Петербург, Коломяжский пр., 15а"
24,"Санкт-Петербург, ул. Байконурская, 14а"
25,"Санкт-Петербург, пл. Александра Невского, 2"
26,"Санкт-Петербург, ул. Одоевского, 29а"
27,"Санкт-Петербург, пр. Просвещения, 19"
28,"Санкт-Петербург, пр. Энгельса, 154а"
29,"Санкт-Петербург, ул. Прибрежная, 20а"
30,"Санкт-Петербург, ул. Московская, 25а"
31,"Санкт-Петербург, Лен. Обл. Колпино,  ул. Пролетарская, 36а"
32,"Санкт-Петербург, ул. Красная, 5/1"
33,"Санкт-Петербург, Петергофское шоссе, 51а"
34,"Санкт-Петербург, Лен. Обл. Всеволожский р-н, пересечение КАД и пр. Энгельса"
35,"Санкт-Петербург, Лен. Обл. Гатчина, Пушкинское ш., 15а"
36,"Санкт-Петербург, Лен. Обл. Мурманское ш., 12 км"
37,"Санкт-Петербург, Лен. Обл., Новое Девяткино, ул. Главная, 60"
38,"Москва, ул. Большая Семеновская, 20, стр.1"
39,"Москва, г.о. Истра, д.Покровское, ул.Центральная, зд.33"
40,"Москва, Новоясеневский пр.,11"
41,"Москва, Рублевское шоссе, 62"
42,"Москва, Бульвар Дмитрия Донского, ул. Старокачаловская, 5а"
43,"Москва, Рублевское шоссе, 52а"
44,"Москва, Головинское шоссе, 5/1"
45,"Москва, Моск. Обл., г. Химки, мкрн «ИКЕА», корп. 2"
46,"Москва, шоссе Энтузиастов, 12"
47,"Москва, ул. Большая Черемушкинская, 1"
48,"Москва, Дмитровское шоссе, 163а"
49,"Москва, Мытищинский район,  Алтуфьевское шоссе, 1-й км, владение №3, стр. 1"
50,"Москва, ул. Енисейская, 19/1"
51,"Москва, ул. Люблинская, 153"
52,"Москва, п. Воскресенское, Чечёрский проезд, 51"
53,"Москва, Ленинградское шоссе, 16а, Башня 1"
54,"Москва, Ленинградское шоссе, 16а, строение 4"
55,"Москва, Пресненская наб., 2"
56,"Москва, Ореховый бульвар, 22а"
57,"Москва, пересечение Каширского ш. и 24 км МКАД"
58,"Москва, 7-я Кожуховская, 9"
59,"Москва, пл. Киевского Вокзала, 2"
60,"Москва, г. Пушкино, Красноармейское шоссе, стр. 104"
61,"Москва, Волгоградский пр., 125"
62,"Москва, Моск. Обл., Одинцовский район, с. Немчиновка, Хорошевский проезд, 14"
63,"Москва, ул. Земляной вал, 33 "
64,"Москва, ул. Вавилова, 3"
65,"Москва, ул. Краснодарская, 51/2"
66,"Москва, пр. Мира, 211/2"
