recId;SeqNumber;seqLength;displayLatitude;displayLongitude;locationLabel;houseNumber;street;district;city;postalCode;county;state;country
0;1;1;59.92743;30.36058;Лиговский проспект 30А, Санкт-Петербург, Россия, 191040;30А;Лиговский проспект;Центральный район;Санкт-Петербург;191040;Санкт-Петербург;Северо-Западный федеральный округ;RUS
1;1;1;59.85856;30.24876;проспект Стачек 99, Санкт-Петербург, Россия, 198302;99;проспект Стачек;Кировский район;Санкт-Петербург;198302;Санкт-Петербург;Северо-Западный федеральный округ;RUS
2;1;1;60.0123706;30.397872;Гражданский проспект 41, Санкт-Петербург, Россия, 195220;41;Гражданский проспект;Калининский район;Санкт-Петербург;195220;Санкт-Петербург;Северо-Западный федеральный округ;RUS
3;1;1;59.90812;30.30148;набережная Обводного канала 118А, Санкт-Петербург, Россия, 190103;118А;набережная Обводного канала;Адмиралтейский район;Санкт-Петербург;190103;Санкт-Петербург;Северо-Западный федеральный округ;RUS
4;1;1;59.99078;30.20575;улица Савушкина 141, Санкт-Петербург, Россия, 197374;141;улица Савушкина;Приморский район;Санкт-Петербург;197374;Санкт-Петербург;Северо-Западный федеральный округ;RUS
5;1;1;59.88297;30.37017;Бухарестская улица 30/32, Санкт-Петербург, Россия, 192102;30/32;Бухарестская улица;Фрунзенский район;Санкт-Петербург;192102;Санкт-Петербург;Северо-Западный федеральный округ;RUS
6;1;1;59.93471;30.33413;Невский проспект 48, Санкт-Петербург, Россия, 191011;48;Невский проспект;Центральный район;Санкт-Петербург;191011;Санкт-Петербург;Северо-Западный федеральный округ;RUS
7;1;1;60.03687;30.41555;проспект Просвещения 84 корп 1, Санкт-Петербург, Россия, 195267;84 корп 1;проспект Просвещения;Калининский район;Санкт-Петербург;195267;Санкт-Петербург;Северо-Западный федеральный округ;RUS
8;1;1;59.92849;30.34668;Владимирский проспект 19, Санкт-Петербург, Россия, 191002;19;Владимирский проспект;Центральный район;Санкт-Петербург;191002;Санкт-Петербург;Северо-Западный федеральный округ;RUS
9;1;1;59.90874;30.48344;проспект Большевиков 18 корп 2, Санкт-Петербург, Россия, 193168;18 корп 2;проспект Большевиков;Невский район;Санкт-Петербург;193168;Санкт-Петербург;Северо-Западный федеральный округ;RUS
10;1;1;59.83235;30.34885;улица Ленсовета 97, Санкт-Петербург, Россия, 196158;97;улица Ленсовета;Московский район;Санкт-Петербург;196158;Санкт-Петербург;Северо-Западный федеральный округ;RUS
11;1;1;60.00642;30.26115;Комендантская площадь 1, Санкт-Петербург, Россия, 197372;1;Комендантская площадь;Приморский район;Санкт-Петербург;197372;Санкт-Петербург;Северо-Западный федеральный округ;RUS
12;1;1;59.83077;30.37738;Балканская площадь 5, Санкт-Петербург, Россия, 192281;5;Балканская площадь;Фрунзенский район;Санкт-Петербург;192281;Санкт-Петербург;Северо-Западный федеральный округ;RUS
13;1;1;59.83077;30.37738;Балканская площадь 5, Санкт-Петербург, Россия, 192281;5;Балканская площадь;Фрунзенский район;Санкт-Петербург;192281;Санкт-Петербург;Северо-Западный федеральный округ;RUS
14;1;1;59.9329;30.43698;Заневский проспект 67, Санкт-Петербург, Россия, 195112;67;Заневский проспект;Красногвардейский район;Санкт-Петербург;195112;Санкт-Петербург;Северо-Западный федеральный округ;RUS
15;1;1;59.85236;30.26561;Ленинский проспект 128, Санкт-Петербург, Россия, 198262;128;Ленинский проспект;Кировский район;Санкт-Петербург;198262;Санкт-Петербург;Северо-Западный федеральный округ;RUS
16;1;1;59.98483;30.3614;Полюстровский проспект 79, Санкт-Петербург, Россия, 195197;79;Полюстровский проспект;Калининский район;Санкт-Петербург;195197;Санкт-Петербург;Северо-Западный федеральный округ;RUS
17;1;1;59.87041;30.3792;улица Белы Куна 3, Санкт-Петербург, Россия, 192242;3;улица Белы Куна;Фрунзенский район;Санкт-Петербург;192242;Санкт-Петербург;Северо-Западный федеральный округ;RUS
